"","Date","Price","Location"
"147","5/21/18",2.662,"Texas"
"148","5/28/18",2.741,"Texas"
"149","6/4/18",2.731,"Texas"
"150","6/11/18",2.713,"Texas"
"151","6/18/18",2.681,"Texas"
"152","6/25/18",2.637,"Texas"
"153","7/2/18",2.631,"Texas"
"154","7/9/18",2.63,"Texas"
"155","7/16/18",2.616,"Texas"
"156","7/23/18",2.591,"Texas"
"157","7/30/18",2.609,"Texas"
"158","8/6/18",2.604,"Texas"
"159","8/3/15",3.169,"Seattle"
"160","8/10/15",3.122,"Seattle"
"161","8/17/15",3.083,"Seattle"
"162","8/24/15",3.045,"Seattle"
"163","8/31/15",2.962,"Seattle"
"164","9/7/15",2.891,"Seattle"
"165","9/14/15",2.8,"Seattle"
"166","9/21/15",2.709,"Seattle"
"167","9/28/15",2.642,"Seattle"
"168","10/5/15",2.59,"Seattle"
"169","10/12/15",2.551,"Seattle"
"170","10/19/15",2.506,"Seattle"
"171","10/26/15",2.458,"Seattle"
"172","11/2/15",2.423,"Seattle"
"173","11/9/15",2.506,"Seattle"
"174","11/16/15",2.516,"Seattle"
"175","11/23/15",2.484,"Seattle"
"176","11/30/15",2.467,"Seattle"
"177","12/7/15",2.448,"Seattle"
"178","12/14/15",2.436,"Seattle"
"179","12/21/15",2.453,"Seattle"
"180","12/28/15",2.489,"Seattle"
"181","1/4/16",2.493,"Seattle"
"182","1/11/16",2.462,"Seattle"
"183","1/18/16",2.404,"Seattle"
"184","1/25/16",2.333,"Seattle"
"185","2/1/16",2.217,"Seattle"
"186","2/8/16",2.133,"Seattle"
"187","2/15/16",2.092,"Seattle"
"188","2/22/16",2.051,"Seattle"
"189","2/29/16",2.057,"Seattle"
"190","3/7/16",2.135,"Seattle"
"191","3/14/16",2.206,"Seattle"
"192","3/21/16",2.273,"Seattle"
"193","3/28/16",2.307,"Seattle"
"194","4/4/16",2.319,"Seattle"
"195","4/11/16",2.285,"Seattle"
"196","4/18/16",2.309,"Seattle"
"197","4/25/16",2.327,"Seattle"
"198","5/2/16",2.393,"Seattle"
"199","5/9/16",2.475,"Seattle"
"200","5/16/16",2.539,"Seattle"
"201","5/23/16",2.579,"Seattle"
"202","5/30/16",2.604,"Seattle"
"203","6/6/16",2.619,"Seattle"
"204","6/13/16",2.628,"Seattle"
"205","6/20/16",2.623,"Seattle"
"206","6/27/16",2.623,"Seattle"
"207","7/4/16",2.643,"Seattle"
"208","7/11/16",2.649,"Seattle"
"209","7/18/16",2.64,"Seattle"
"210","7/25/16",2.636,"Seattle"
"211","8/1/16",2.607,"Seattle"
"212","8/8/16",2.584,"Seattle"
"213","8/15/16",2.565,"Seattle"
"214","8/22/16",2.566,"Seattle"
"215","8/29/16",2.591,"Seattle"
"216","9/5/16",2.608,"Seattle"
"217","9/12/16",2.627,"Seattle"
"218","9/19/16",2.688,"Seattle"
"219","9/26/16",2.702,"Seattle"
"220","10/3/16",2.698,"Seattle"
"221","10/10/16",2.686,"Seattle"
"222","10/17/16",2.698,"Seattle"
"223","10/24/16",2.704,"Seattle"
"224","10/31/16",2.699,"Seattle"
"225","11/7/16",2.708,"Seattle"
"226","11/14/16",2.661,"Seattle"
"227","11/21/16",2.613,"Seattle"
"228","11/28/16",2.576,"Seattle"
"229","12/5/16",2.566,"Seattle"
"230","12/12/16",2.574,"Seattle"
"231","12/19/16",2.577,"Seattle"
"232","12/26/16",2.602,"Seattle"
"233","1/2/17",2.66,"Seattle"
"234","1/9/17",2.728,"Seattle"
"235","1/16/17",2.756,"Seattle"
"236","1/23/17",2.747,"Seattle"
"237","1/30/17",2.744,"Seattle"
"238","2/6/17",2.727,"Seattle"
"239","2/13/17",2.72,"Seattle"
"240","2/20/17",2.726,"Seattle"
"241","2/27/17",2.74,"Seattle"
"242","3/6/17",2.777,"Seattle"
"243","3/13/17",2.828,"Seattle"
"244","3/20/17",2.833,"Seattle"
"245","3/27/17",2.817,"Seattle"
"246","4/3/17",2.848,"Seattle"
"247","4/10/17",2.878,"Seattle"
"248","4/17/17",2.882,"Seattle"
"249","4/24/17",2.897,"Seattle"
"250","5/1/17",2.887,"Seattle"
"251","5/8/17",2.873,"Seattle"
"252","5/15/17",2.863,"Seattle"
"253","5/22/17",2.873,"Seattle"
"254","5/29/17",2.872,"Seattle"
"255","6/5/17",2.869,"Seattle"
"256","6/12/17",2.861,"Seattle"
"257","6/19/17",2.841,"Seattle"
"258","6/26/17",2.819,"Seattle"
"259","7/3/17",2.802,"Seattle"
"260","7/10/17",2.804,"Seattle"
"261","7/17/17",2.802,"Seattle"
"262","7/24/17",2.798,"Seattle"
"263","7/31/17",2.801,"Seattle"
"264","8/7/17",2.814,"Seattle"
"265","8/14/17",2.832,"Seattle"
"266","8/21/17",2.889,"Seattle"
"267","8/28/17",2.947,"Seattle"
"268","9/4/17",3.034,"Seattle"
"269","9/11/17",3.067,"Seattle"
"270","9/18/17",3.061,"Seattle"
"271","9/25/17",3.037,"Seattle"
"272","10/2/17",2.992,"Seattle"
"273","10/9/17",2.959,"Seattle"
"274","10/16/17",2.934,"Seattle"
"275","10/23/17",2.928,"Seattle"
"276","10/30/17",2.923,"Seattle"
"277","11/6/17",2.962,"Seattle"
"278","11/13/17",3.027,"Seattle"
"279","11/20/17",3.02,"Seattle"
"280","11/27/17",2.993,"Seattle"
"281","12/4/17",2.994,"Seattle"
"282","12/11/17",2.973,"Seattle"
"283","12/18/17",2.976,"Seattle"
"284","12/25/17",2.951,"Seattle"
"285","1/1/18",2.961,"Seattle"
"286","1/8/18",2.957,"Seattle"
"287","1/15/18",2.946,"Seattle"
"288","1/22/18",2.973,"Seattle"
"289","1/29/18",3.008,"Seattle"
"290","2/5/18",3.037,"Seattle"
"291","2/12/18",3.047,"Seattle"
"292","2/19/18",3.042,"Seattle"
"293","2/26/18",3.04,"Seattle"
"294","3/5/18",3.062,"Seattle"
"295","3/12/18",3.09,"Seattle"
"296","3/19/18",3.152,"Seattle"
"297","3/26/18",3.2,"Seattle"
"298","4/2/18",3.23,"Seattle"
"299","4/9/18",3.245,"Seattle"
"300","4/16/18",3.273,"Seattle"
"301","4/23/18",3.309,"Seattle"
"302","4/30/18",3.347,"Seattle"
"303","5/7/18",3.387,"Seattle"
"304","5/14/18",3.371,"Seattle"
"305","5/21/18",3.388,"Seattle"
"306","5/28/18",3.431,"Seattle"
"307","6/4/18",3.429,"Seattle"
"308","6/11/18",3.41,"Seattle"
"309","6/18/18",3.388,"Seattle"
"310","6/25/18",3.387,"Seattle"
"311","7/2/18",3.375,"Seattle"
"312","7/9/18",3.373,"Seattle"
"313","7/16/18",3.376,"Seattle"
"314","7/23/18",3.344,"Seattle"
"315","7/30/18",3.326,"Seattle"
"316","8/6/18",3.317,"Seattle"
"317","8/3/15",2.752,"Miami"
"318","8/10/15",2.719,"Miami"
"319","8/17/15",2.68,"Miami"
"320","8/24/15",2.602,"Miami"
"321","8/31/15",2.555,"Miami"
"322","9/7/15",2.517,"Miami"
"323","9/14/15",2.487,"Miami"
"324","9/21/15",2.422,"Miami"
"325","9/28/15",2.422,"Miami"
"326","10/5/15",2.411,"Miami"
"327","10/12/15",2.414,"Miami"
"328","10/19/15",2.381,"Miami"
"329","10/26/15",2.342,"Miami"
"330","11/2/15",2.346,"Miami"
"331","11/9/15",2.386,"Miami"
"332","11/16/15",2.354,"Miami"
"333","11/23/15",2.335,"Miami"
"334","11/30/15",2.324,"Miami"
"335","12/7/15",2.325,"Miami"
"336","12/14/15",2.318,"Miami"
"337","12/21/15",2.307,"Miami"
"338","12/28/15",2.254,"Miami"
