Date,Price,Location
Sep 21 2015,2.709,Seattle
Sep 28 2015,2.642,Seattle
Oct 5 2015,2.59,Seattle
Oct 12 2015,2.551,Seattle
Oct 19 2015,2.506,Seattle
Oct 26 2015,2.458,Seattle
Nov 2 2015,2.423,Seattle
Nov 9 2015,2.506,Seattle
Nov 16 2015,2.516,Seattle
Nov 23 2015,2.484,Seattle
Nov 30 2015,2.467,Seattle
Dec 7 2015,2.448,Seattle
Dec 14 2015,2.436,Seattle
Dec 21 2015,2.453,Seattle
Dec 28 2015,2.489,Seattle
Jan 4 2016,2.493,Seattle
Jan 11 2016,2.462,Seattle
Jan 18 2016,2.404,Seattle
Jan 25 2016,2.333,Seattle
Feb 1 2016,2.217,Seattle
Feb 8 2016,2.133,Seattle
Feb 15 2016,2.092,Seattle
Feb 22 2016,2.051,Seattle
Feb 29 2016,2.057,Seattle
Mar 7 2016,2.135,Seattle
Mar 14 2016,2.206,Seattle
Mar 21 2016,2.273,Seattle
Mar 28 2016,2.307,Seattle
Apr 4 2016,2.319,Seattle
Apr 11 2016,2.285,Seattle
Apr 18 2016,2.309,Seattle
Apr 25 2016,2.327,Seattle
May 2 2016,2.393,Seattle
May 9 2016,2.475,Seattle
May 16 2016,2.539,Seattle
May 23 2016,2.579,Seattle
May 30 2016,2.604,Seattle
Jun 6 2016,2.619,Seattle
Jun 13 2016,2.628,Seattle
Jun 20 2016,2.623,Seattle
Jun 27 2016,2.623,Seattle
Jul 4 2016,2.643,Seattle
Jul 11 2016,2.649,Seattle
Jul 18 2016,2.64,Seattle
Jul 25 2016,2.636,Seattle
Aug 1 2016,2.607,Seattle
Aug 8 2016,2.584,Seattle
Aug 15 2016,2.565,Seattle
Aug 22 2016,2.566,Seattle
Aug 29 2016,2.591,Seattle
Sep 5 2016,2.608,Seattle
Sep 12 2016,2.627,Seattle
Sep 19 2016,2.688,Seattle
Sep 26 2016,2.702,Seattle
Oct 3 2016,2.698,Seattle
Oct 10 2016,2.686,Seattle
Oct 17 2016,2.698,Seattle
Oct 24 2016,2.704,Seattle
Oct 31 2016,2.699,Seattle
Nov 7 2016,2.708,Seattle
Nov 14 2016,2.661,Seattle
Nov 21 2016,2.613,Seattle
Nov 28 2016,2.576,Seattle
Dec 5 2016,2.566,Seattle
Dec 12 2016,2.574,Seattle
Dec 19 2016,2.577,Seattle
Dec 26 2016,2.602,Seattle
Jan 2 2017,2.66,Seattle
Jan 9 2017,2.728,Seattle
Jan 16 2017,2.756,Seattle
Jan 23 2017,2.747,Seattle
Jan 30 2017,2.744,Seattle
Feb 6 2017,2.727,Seattle
Feb 13 2017,2.72,Seattle
Feb 20 2017,2.726,Seattle
Feb 27 2017,2.74,Seattle
Mar 6 2017,2.777,Seattle
Mar 13 2017,2.828,Seattle
Mar 20 2017,2.833,Seattle
Mar 27 2017,2.817,Seattle
Apr 3 2017,2.848,Seattle
Apr 10 2017,2.878,Seattle
Apr 17 2017,2.882,Seattle
Apr 24 2017,2.897,Seattle
May 1 2017,2.887,Seattle
May 8 2017,2.873,Seattle
May 15 2017,2.863,Seattle
May 22 2017,2.873,Seattle
May 29 2017,2.872,Seattle
Jun 5 2017,2.869,Seattle
Jun 12 2017,2.861,Seattle
Jun 19 2017,2.841,Seattle
Jun 26 2017,2.819,Seattle
Jul 3 2017,2.802,Seattle
Jul 10 2017,2.804,Seattle
Jul 17 2017,2.802,Seattle
Jul 24 2017,2.798,Seattle
Jul 31 2017,2.801,Seattle
Aug 7 2017,2.814,Seattle
Aug 14 2017,2.832,Seattle
Aug 21 2017,2.889,Seattle
Aug 28 2017,2.947,Seattle
Sep 4 2017,3.034,Seattle
Sep 11 2017,3.067,Seattle
Sep 18 2017,3.061,Seattle
Sep 25 2017,3.037,Seattle
Oct 2 2017,2.992,Seattle
Oct 9 2017,2.959,Seattle
Oct 16 2017,2.934,Seattle
Oct 23 2017,2.928,Seattle
Oct 30 2017,2.923,Seattle
Nov 6 2017,2.962,Seattle
Nov 13 2017,3.027,Seattle
Nov 20 2017,3.02,Seattle
Nov 27 2017,2.993,Seattle
Dec 4 2017,2.994,Seattle
Dec 11 2017,2.973,Seattle
Dec 18 2017,2.976,Seattle
Dec 25 2017,2.951,Seattle
Jan 1 2018,2.961,Seattle
Jan 8 2018,2.957,Seattle
Jan 15 2018,2.946,Seattle
Jan 22 2018,2.973,Seattle
Jan 29 2018,3.008,Seattle
Feb 5 2018,3.037,Seattle
Feb 12 2018,3.047,Seattle
Feb 19 2018,3.042,Seattle
Feb 26 2018,3.04,Seattle
Mar 5 2018,3.062,Seattle
Mar 12 2018,3.09,Seattle
Mar 19 2018,3.152,Seattle
Mar 26 2018,3.2,Seattle
Apr 2 2018,3.23,Seattle
Apr 9 2018,3.245,Seattle
Apr 16 2018,3.273,Seattle
Apr 23 2018,3.309,Seattle
Apr 30 2018,3.347,Seattle
May 7 2018,3.387,Seattle
May 14 2018,3.371,Seattle
May 21 2018,3.388,Seattle
May 28 2018,3.431,Seattle
Jun 4 2018,3.429,Seattle
Jun 11 2018,3.41,Seattle
Jun 18 2018,3.388,Seattle
Jun 25 2018,3.387,Seattle
Jul 2 2018,3.375,Seattle
Jul 9 2018,3.373,Seattle
Jul 16 2018,3.376,Seattle
Jul 23 2018,3.344,Seattle
Jul 30 2018,3.326,Seattle
Aug 6 2018,3.317,Seattle
Aug 3 2015,2.752,Miami
Aug 10 2015,2.719,Miami
Aug 17 2015,2.68,Miami
Aug 24 2015,2.602,Miami
Aug 31 2015,2.555,Miami
Sep 7 2015,2.517,Miami
Sep 14 2015,2.487,Miami
Sep 21 2015,2.422,Miami
Sep 28 2015,2.422,Miami
Oct 5 2015,2.411,Miami
Oct 12 2015,2.414,Miami
Oct 19 2015,2.381,Miami
Oct 26 2015,2.342,Miami
Nov 2 2015,2.346,Miami
Nov 9 2015,2.386,Miami
Nov 16 2015,2.354,Miami
Nov 23 2015,2.335,Miami
Nov 30 2015,2.324,Miami
Dec 7 2015,2.325,Miami
Dec 14 2015,2.318,Miami
Dec 21 2015,2.307,Miami
Dec 28 2015,2.254,Miami
Jan 4 2016,2.25,Miami
Jan 11 2016,2.189,Miami
Jan 18 2016,2.119,Miami
Jan 25 2016,2.097,Miami
Feb 1 2016,2.074,Miami
Feb 8 2016,1.983,Miami
Feb 15 2016,1.972,Miami
Feb 22 2016,1.955,Miami
Feb 29 2016,1.967,Miami
Mar 7 2016,2.019,Miami
Mar 14 2016,2.12,Miami
Mar 21 2016,2.184,Miami
Mar 28 2016,2.236,Miami
Apr 4 2016,2.243,Miami
Apr 11 2016,2.217,Miami
Apr 18 2016,2.278,Miami
Apr 25 2016,2.266,Miami
May 2 2016,2.371,Miami
May 9 2016,2.375,Miami
May 16 2016,2.374,Miami
May 23 2016,2.414,Miami
May 30 2016,2.427,Miami
Jun 6 2016,2.469,Miami
Jun 13 2016,2.49,Miami
Jun 20 2016,2.475,Miami
Jun 27 2016,2.454,Miami
Jul 4 2016,2.451,Miami
Jul 11 2016,2.421,Miami
Jul 18 2016,2.404,Miami
Jul 25 2016,2.361,Miami
Aug 1 2016,2.324,Miami
Aug 8 2016,2.31,Miami
Aug 15 2016,2.277,Miami
Aug 22 2016,2.308,Miami
Aug 29 2016,2.38,Miami
Sep 5 2016,2.36,Miami
Sep 12 2016,2.349,Miami
Sep 19 2016,2.342,Miami
Sep 26 2016,2.337,Miami
Oct 3 2016,2.382,Miami
Oct 10 2016,2.423,Miami
Oct 17 2016,2.439,Miami
Oct 24 2016,2.429,Miami
Oct 31 2016,2.414,Miami
Nov 7 2016,2.397,Miami
Nov 14 2016,2.382,Miami
Nov 21 2016,2.325,Miami
Nov 28 2016,2.318,Miami
Dec 5 2016,2.368,Miami
Dec 12 2016,2.428,Miami
Dec 19 2016,2.47,Miami
Dec 26 2016,2.508,Miami
Jan 2 2017,2.584,Miami
Jan 9 2017,2.581,Miami
Jan 16 2017,2.564,Miami
Jan 23 2017,2.534,Miami
Jan 30 2017,2.528,Miami
Feb 6 2017,2.534,Miami
Feb 13 2017,2.533,Miami
Feb 20 2017,2.561,Miami
Feb 27 2017,2.543,Miami
Mar 6 2017,2.568,Miami
Mar 13 2017,2.526,Miami
Mar 20 2017,2.514,Miami
Mar 27 2017,2.5,Miami
Apr 3 2017,2.525,Miami
Apr 10 2017,2.59,Miami
Apr 17 2017,2.603,Miami
Apr 24 2017,2.6,Miami
May 1 2017,2.575,Miami
May 8 2017,2.545,Miami
May 15 2017,2.53,Miami
May 22 2017,2.526,Miami
May 29 2017,2.553,Miami
Jun 5 2017,2.553,Miami
Jun 12 2017,2.518,Miami
Jun 19 2017,2.453,Miami
Jun 26 2017,2.385,Miami
Jul 3 2017,2.361,Miami
Jul 10 2017,2.372,Miami
Jul 17 2017,2.36,Miami
Jul 24 2017,2.397,Miami
Jul 31 2017,2.441,Miami
Aug 7 2017,2.461,Miami
Aug 14 2017,2.446,Miami
Aug 21 2017,2.437,Miami
Aug 28 2017,2.483,Miami
Sep 4 2017,2.868,Miami
Sep 11 2017,NA,Miami
Sep 18 2017,2.781,Miami
Sep 25 2017,2.836,Miami
Oct 2 2017,2.822,Miami
Oct 9 2017,2.793,Miami
Oct 16 2017,2.735,Miami
Oct 23 2017,2.703,Miami
Oct 30 2017,2.688,Miami
Nov 6 2017,2.706,Miami
Nov 13 2017,2.745,Miami
Nov 20 2017,2.705,Miami
Nov 27 2017,2.692,Miami
Dec 4 2017,2.673,Miami
Dec 11 2017,2.665,Miami
Dec 18 2017,2.637,Miami
Dec 25 2017,2.648,Miami
Jan 1 2018,2.665,Miami
Jan 8 2018,2.669,Miami
Jan 15 2018,2.688,Miami
Jan 22 2018,2.759,Miami
Jan 29 2018,2.808,Miami
Feb 5 2018,2.812,Miami
Feb 12 2018,2.797,Miami
Feb 19 2018,2.772,Miami
Feb 26 2018,2.744,Miami
Mar 5 2018,2.756,Miami
Mar 12 2018,2.727,Miami
Mar 19 2018,2.746,Miami
Mar 26 2018,2.793,Miami
Apr 2 2018,2.829,Miami
Apr 9 2018,2.821,Miami
Apr 16 2018,2.87,Miami
Apr 23 2018,2.914,Miami
Apr 30 2018,2.947,Miami
May 7 2018,2.931,Miami
May 14 2018,2.809,Miami
May 21 2018,2.819,Miami
May 28 2018,2.899,Miami
Jun 4 2018,2.869,Miami
Jun 11 2018,2.812,Miami
Jun 18 2018,2.793,Miami
Jun 25 2018,2.752,Miami
Jul 2 2018,2.75,Miami
Jul 9 2018,2.741,Miami
Jul 16 2018,2.797,Miami
Jul 23 2018,2.77,Miami
Jul 30 2018,2.809,Miami
Aug 6 2018,2.801,Miami
